frame,timestamp,shot,player
6,0.24,backhand,player_1
26,1.04,serve,player_1
28,1.12,backhand,player_1
30,1.2,serve,player_1
36,1.44,forehand,player_1
38,1.52,serve,player_1
48,1.92,smash,player_1
50,2.0,forehand,player_1
70,2.8,smash,player_1
82,3.28,forehand,player_1
92,3.68,backhand,player_1
94,3.76,forehand,player_1
102,4.08,backhand,player_1
104,4.16,forehand,player_1
106,4.24,backhand,player_1
108,4.32,forehand,player_1
110,4.4,backhand,player_1
116,4.64,forehand,player_1
122,4.88,backhand,player_1
124,4.96,forehand,player_1
132,5.28,backhand,player_1
